[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-52.36331,0,-40.33822,-30.19155,0,7.545848,-4.197394,0,0,0,0,0,-15,0,0.8925518,0,0,-0.6451116,0,0,-0.3225558,0,0,0,0,0,1.143388,0,0,1.143388,0,0,1.143388,0,0,0,15,0,-79.21799,0,0,-79.21799,0,0,-79.21799,0,0,0,25,0,-95.07172,0,0,-95.07172,0,0,-95.07172,3
-52.37868,0,-40.33888,-30.22228,0,7.54522,-4.099322,0,0,0,0,0,-15,0,0.6857929,0,0,-0.6912578,0,0,-0.3456289,0,0,0,0,0,1.156197,0,0,1.156197,0,0,1.156197,0,0,0,15,0,-79.20751,0,0,-79.20751,0,0,-79.20751,0,0,0,25,0,-95.06259,0,0,-95.06259,0,0,-95.06259,3
-52.37735,0,-40.33788,-30.21963,0,7.546193,-4.046216,0,0,0,0,0,-15,0,0.4446016,0,0,-0.4501142,0,0,-0.2250571,0,0,0,0,0,1.17843,0,0,1.17843,0,0,1.17843,0,0,0,15,0,-79.21942,0,0,-79.21942,0,0,-79.21942,0,0,0,25,0,-95.04072,0,0,-95.04072,0,0,-95.04072,3
-52.35898,0,-40.32551,-30.18289,0,7.558566,-4.068758,0,0,0,0,0,-15,0,0.2156631,0,0,-0.1926895,0,0,-0.09634474,0,0,0,0,0,1.196664,0,0,1.196664,0,0,1.196664,0,0,0,15,0,-79.21901,0,0,-79.21901,0,0,-79.21901,0,0,0,25,0,-95.04121,0,0,-95.04121,0,0,-95.04121,3
-52.30506,0,-40.3228,-30.07505,0,7.56129,-4.230628,0,0,0,0,0,-15,0,0.06354386,0,0,-0.2612282,0,0,-0.1306141,0,0,0,0,0,1.180858,0,0,1.180858,0,0,1.180858,0,0,0,15,0,-79.17975,0,0,-79.17975,0,0,-79.17975,0,0,0,25,0,-95.06298,0,0,-95.06298,0,0,-95.06298,3
-52.30429,0,-40.31591,-30.07351,0,7.568173,-4.259096,0,0,0,0,0,-15,0,-0.07350386,0,0,-0.3235357,0,0,-0.1617678,0,0,0,0,0,1.146662,0,0,1.146662,0,0,1.146662,0,0,0,15,0,-79.12999,0,0,-79.12999,0,0,-79.12999,0,0,0,25,0,-95.0814,0,0,-95.0814,0,0,-95.0814,3
-52.31942,0,-40.30298,-30.10379,0,7.581113,-4.271764,0,0,0,0,0,-15,0,-0.1809496,0,0,-0.7410209,0,0,-0.3705104,0,0,0,0,0,1.112636,0,0,1.112636,0,0,1.112636,0,0,0,15,0,-79.08971,0,0,-79.08971,0,0,-79.08971,0,0,0,25,0,-95.09286,0,0,-95.09286,0,0,-95.09286,3
-52.32989,0,-40.29362,-30.12475,0,7.590443,-4.28459,0,0,0,0,0,-15,0,-0.2652529,0,0,-0.7281776,0,0,-0.3640888,0,0,0,0,0,1.099396,0,0,1.099396,0,0,1.099396,0,0,0,15,0,-79.04343,0,0,-79.04343,0,0,-79.04343,0,0,0,25,0,-95.08646,0,0,-95.08646,0,0,-95.08646,3
-52.34861,0,-40.28466,-30.16219,0,7.599416,-4.270115,0,0,0,0,0,-15,0,-0.2948587,0,0,-0.7183765,0,0,-0.3591882,0,0,0,0,0,1.113728,0,0,1.113728,0,0,1.113728,0,0,0,15,0,-79.1019,0,0,-79.1019,0,0,-79.1019,0,0,0,25,0,-95.04741,0,0,-95.04741,0,0,-95.04741,3
-52.35746,0,-40.28094,-30.17987,0,7.603136,-4.271829,0,0,0,0,0,-15,0,-0.2940327,0,0,-0.7200659,0,0,-0.3600329,0,0,0,0,0,1.116196,0,0,1.116196,0,0,1.116196,0,0,0,15,0,-79.11388,0,0,-79.11388,0,0,-79.11388,0,0,0,25,0,-95.02475,0,0,-95.02475,0,0,-95.02475,3
-52.36143,0,-40.28328,-30.18781,0,7.600803,-4.29712,0,0,0,0,0,-15,0,-0.2644206,0,0,-0.7406631,0,0,-0.3703315,0,0,0,0,0,1.123025,0,0,1.123025,0,0,1.123025,0,0,0,15,0,-79.10028,0,0,-79.10028,0,0,-79.10028,0,0,0,25,0,-95.03368,0,0,-95.03368,0,0,-95.03368,3
