[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-20.77133,0,-64.44632,32.99044,0,-16.56213,-31.97433,0,0,0,0,0,-15,0,-102.1892,0,0,-13.4638,0,0,-6.731898,0,0,0,0,0,-68.92289,0,0,-68.92289,0,0,-68.92289,0,0,0,15,0,-21.20343,0,0,-21.20343,0,0,-21.20343,0,0,0,25,0,-48.46515,0,0,-48.46515,0,0,-48.46515,1
-20.77072,0,-64.43015,32.99166,0,-16.54596,-32.02361,0,0,0,0,0,-15,0,-102.1861,0,0,-13.44277,0,0,-6.721384,0,0,0,0,0,-68.92354,0,0,-68.92354,0,0,-68.92354,0,0,0,15,0,-21.20744,0,0,-21.20744,0,0,-21.20744,0,0,0,25,0,-48.47568,0,0,-48.47568,0,0,-48.47568,1
-20.77341,0,-64.4173,32.98629,0,-16.53311,-32.03522,0,0,0,0,0,-15,0,-102.1824,0,0,-13.42728,0,0,-6.713642,0,0,0,0,0,-68.92545,0,0,-68.92545,0,0,-68.92545,0,0,0,15,0,-21.21467,0,0,-21.21467,0,0,-21.21467,0,0,0,25,0,-48.47677,0,0,-48.47677,0,0,-48.47677,1
-20.77772,0,-64.40512,32.97763,0,-16.52096,-32.05529,0,0,0,0,0,-15,0,-102.1736,0,0,-13.4273,0,0,-6.713649,0,0,0,0,0,-68.92731,0,0,-68.92731,0,0,-68.92731,0,0,0,15,0,-21.21631,0,0,-21.21631,0,0,-21.21631,0,0,0,25,0,-48.47583,0,0,-48.47583,0,0,-48.47583,1
-20.78267,0,-64.39646,32.96773,0,-16.51229,-32.03516,0,0,0,0,0,-15,0,-102.1565,0,0,-13.43985,0,0,-6.719925,0,0,0,0,0,-68.92525,0,0,-68.92525,0,0,-68.92525,0,0,0,15,0,-21.22094,0,0,-21.22094,0,0,-21.22094,0,0,0,25,0,-48.47458,0,0,-48.47458,0,0,-48.47458,1
-20.78926,0,-64.39312,32.95459,0,-16.50892,-31.98638,0,0,0,0,0,-15,0,-102.1426,0,0,-13.47473,0,0,-6.737366,0,0,0,0,0,-68.92956,0,0,-68.92956,0,0,-68.92956,0,0,0,15,0,-21.22012,0,0,-21.22012,0,0,-21.22012,0,0,0,25,0,-48.4716,0,0,-48.4716,0,0,-48.4716,1
-20.79552,0,-64.39382,32.94206,0,-16.50962,-31.90407,0,0,0,0,0,-15,0,-102.1227,0,0,-13.50916,0,0,-6.75458,0,0,0,0,0,-68.9301,0,0,-68.9301,0,0,-68.9301,0,0,0,15,0,-21.22073,0,0,-21.22073,0,0,-21.22073,0,0,0,25,0,-48.46735,0,0,-48.46735,0,0,-48.46735,1
-20.80179,0,-64.39653,32.92952,0,-16.51234,-31.82095,0,0,0,0,0,-15,0,-102.1094,0,0,-13.54125,0,0,-6.770624,0,0,0,0,0,-68.92808,0,0,-68.92808,0,0,-68.92808,0,0,0,15,0,-21.21965,0,0,-21.21965,0,0,-21.21965,0,0,0,25,0,-48.47158,0,0,-48.47158,0,0,-48.47158,1
-20.80727,0,-64.39877,32.91856,0,-16.51456,-31.75578,0,0,0,0,0,-15,0,-102.0906,0,0,-13.54983,0,0,-6.774915,0,0,0,0,0,-68.92262,0,0,-68.92262,0,0,-68.92262,0,0,0,15,0,-21.21538,0,0,-21.21538,0,0,-21.21538,0,0,0,25,0,-48.47121,0,0,-48.47121,0,0,-48.47121,1
-20.81285,0,-64.40218,32.90741,0,-16.51797,-31.68985,0,0,0,0,0,-15,0,-102.0812,0,0,-13.5834,0,0,-6.7917,0,0,0,0,0,-68.92647,0,0,-68.92647,0,0,-68.92647,0,0,0,15,0,-21.21627,0,0,-21.21627,0,0,-21.21627,0,0,0,25,0,-48.47374,0,0,-48.47374,0,0,-48.47374,1
-20.81994,0,-64.40211,32.89321,0,-16.51791,-31.63466,0,0,0,0,0,-15,0,-102.0596,0,0,-13.61895,0,0,-6.809474,0,0,0,0,0,-68.92455,0,0,-68.92455,0,0,-68.92455,0,0,0,15,0,-21.21392,0,0,-21.21392,0,0,-21.21392,0,0,0,25,0,-48.4748,0,0,-48.4748,0,0,-48.4748,1
-20.82125,0,-64.40673,32.8906,0,-16.52254,-31.56695,0,0,0,0,0,-15,0,-102.1794,0,0,-13.46839,0,0,-6.734196,0,0,0,0,0,-68.93702,0,0,-68.93702,0,0,-68.93702,0,0,0,15,0,-21.21529,0,0,-21.21529,0,0,-21.21529,0,0,0,25,0,-48.48729,0,0,-48.48729,0,0,-48.48729,1
-20.82289,0,-64.41374,32.88732,0,-16.52954,-31.50391,0,0,0,0,0,-15,0,-102.1979,0,0,-13.47665,0,0,-6.738323,0,0,0,0,0,-68.94199,0,0,-68.94199,0,0,-68.94199,0,0,0,15,0,-21.21926,0,0,-21.21926,0,0,-21.21926,0,0,0,25,0,-48.50302,0,0,-48.50302,0,0,-48.50302,1
-20.82896,0,-64.41055,32.87517,0,-16.52635,-31.45896,0,0,0,0,0,-15,0,-102.2455,0,0,-13.43057,0,0,-6.715287,0,0,0,0,0,-68.94859,0,0,-68.94859,0,0,-68.94859,0,0,0,15,0,-21.21446,0,0,-21.21446,0,0,-21.21446,0,0,0,25,0,-48.52077,0,0,-48.52077,0,0,-48.52077,1
-20.83624,0,-64.40151,32.86063,0,-16.51731,-31.38213,0,0,0,0,0,-15,0,-102.2435,0,0,-13.44506,0,0,-6.722532,0,0,0,0,0,-68.94765,0,0,-68.94765,0,0,-68.94765,0,0,0,15,0,-21.19963,0,0,-21.19963,0,0,-21.19963,0,0,0,25,0,-48.53525,0,0,-48.53525,0,0,-48.53525,1
-20.8676,0,-64.37578,32.79789,0,-16.49159,-31.28412,0,0,0,0,0,-15,0,-102.1858,0,0,-13.47297,0,0,-6.736483,0,0,0,0,0,-68.9318,0,0,-68.9318,0,0,-68.9318,0,0,0,15,0,-21.14644,0,0,-21.14644,0,0,-21.14644,0,0,0,25,0,-48.54256,0,0,-48.54256,0,0,-48.54256,1
