[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-20.82125,-64.40673,32.8906,-16.52254,-31.56695,-15,-102.1794,-13.46839,-6.734196,-68.93702,-68.93702,-68.93702,15,-21.21529,-21.21529,-21.21529,25,-48.48729,-48.48729,-48.48729,1
-20.82289,-64.41374,32.88732,-16.52954,-31.50391,-15,-102.1979,-13.47665,-6.738323,-68.94199,-68.94199,-68.94199,15,-21.21926,-21.21926,-21.21926,25,-48.50302,-48.50302,-48.50302,1
-20.82896,-64.41055,32.87517,-16.52635,-31.45896,-15,-102.2455,-13.43057,-6.715287,-68.94859,-68.94859,-68.94859,15,-21.21446,-21.21446,-21.21446,25,-48.52077,-48.52077,-48.52077,1
-20.83624,-64.40151,32.86063,-16.51731,-31.38213,-15,-102.2435,-13.44506,-6.722532,-68.94765,-68.94765,-68.94765,15,-21.19963,-21.19963,-21.19963,25,-48.53525,-48.53525,-48.53525,1
-20.8676,-64.37578,32.79789,-16.49159,-31.28412,-15,-102.1858,-13.47297,-6.736483,-68.9318,-68.9318,-68.9318,15,-21.14644,-21.14644,-21.14644,25,-48.54256,-48.54256,-48.54256,1
-20.89306,-64.37009,32.74695,-16.48592,-31.18317,-15,-102.18,-13.52707,-6.763537,-68.92835,-68.92835,-68.92835,15,-21.10003,-21.10003,-21.10003,25,-48.57449,-48.57449,-48.57449,1
-20.9166,-64.4159,32.6999,-16.53172,-30.80581,-15,-102.1712,-13.61596,-6.807979,-68.92602,-68.92602,-68.92602,15,-21.02784,-21.02784,-21.02784,25,-48.61394,-48.61394,-48.61394,1
-20.95176,-64.44093,32.62958,-16.55674,-30.44637,-15,-102.1509,-13.78851,-6.894256,-68.91494,-68.91494,-68.91494,15,-20.91,-20.91,-20.91,25,-48.67898,-48.67898,-48.67898,1
-20.99843,-64.47441,32.53619,-16.59024,-29.92862,-15,-102.165,-13.89917,-6.949587,-68.90717,-68.90717,-68.90717,15,-20.72596,-20.72596,-20.72596,25,-48.70343,-48.70343,-48.70343,1
-21.03671,-64.5031,32.45969,-16.6189,-29.3419,-15,-102.1605,-14.02217,-7.011084,-68.88658,-68.88658,-68.88658,15,-20.4954,-20.4954,-20.4954,25,-48.80754,-48.80754,-48.80754,1
-21.07018,-64.47392,32.39276,-16.58973,-28.9393,-15,-102.133,-14.17058,-7.085289,-68.87618,-68.87618,-68.87618,15,-20.24688,-20.24688,-20.24688,25,-48.89956,-48.89956,-48.89956,1
-21.09186,-64.4245,32.34939,-16.54032,-28.46525,-15,-102.1163,-14.2468,-7.123398,-68.84478,-68.84478,-68.84478,15,-20.01234,-20.01234,-20.01234,25,-49.01105,-49.01105,-49.01105,1
